Ubar,Mubar,Actual_Phase,Predicted_Phase,Type
0.0,-1.0499999999999998,0.0,1,Actual
0.0,5.050000000000001,1.0,0,Actual
0.1,-1.0499999999999998,0.0,1,Actual
0.1,5.45,1.0,0,Actual
0.2,-1.0499999999999998,0.0,1,Actual
0.2,5.8500000000000005,1.0,0,Actual
0.3,-1.0499999999999998,0.0,1,Actual
0.3,6.250000000000001,1.0,0,Actual
0.4,-1.0499999999999998,0.0,1,Actual
0.4,6.650000000000001,1.0,0,Actual
0.5,-1.0499999999999998,0.0,1,Actual
0.5,7.050000000000001,1.0,0,Actual
0.6000000000000001,-1.0499999999999998,0.0,1,Actual
0.6000000000000001,7.45,1.0,0,Actual
0.7000000000000001,-1.0499999999999998,0.0,1,Actual
0.7000000000000001,7.8500000000000005,1.0,0,Actual
0.8,-1.0499999999999998,0.0,1,Actual
0.8,8.25,1.0,0,Actual
0.9,-1.0499999999999998,0.0,1,Actual
0.9,8.650000000000002,0.0,0,Actual
1.0,-1.0499999999999998,0.0,1,Actual
1.0,9.05,0.0,0,Actual
1.1,-1.0499999999999998,0.0,1,Actual
1.1,9.45,1.0,0,Actual
1.2000000000000002,-1.0499999999999998,0.0,1,Actual
1.2000000000000002,9.850000000000001,0.0,0,Actual
1.3,-1.0499999999999998,0.0,1,Actual
1.3,10.25,1.0,0,Actual
1.4,-1.0499999999999998,0.0,1,Actual
1.4,10.649999999999999,1.0,0,Actual
1.5,-1.0499999999999998,0.0,1,Actual
1.5,11.05,0.0,0,Actual
1.6,-1.0499999999999998,0.0,1,Actual
1.6,11.450000000000001,1.0,0,Actual
1.7000000000000002,-1.0499999999999998,0.0,1,Actual
1.7000000000000002,11.850000000000001,1.0,0,Actual
1.8,-1.0499999999999998,0.0,1,Actual
1.8,12.25,1.0,0,Actual
1.9,-1.0499999999999998,0.0,1,Actual
1.9,12.649999999999999,1.0,0,Actual
2.0,-1.0499999999999998,0.0,1,Actual
2.0,13.05,0.0,0,Actual
2.1,-1.0499999999999998,0.0,1,Actual
2.1,13.450000000000001,1.0,0,Actual
2.2,-1.0499999999999998,0.0,1,Actual
2.2,13.850000000000001,1.0,0,Actual
2.3000000000000003,-1.0499999999999998,0.0,1,Actual
