Ubar,Mubar,code1_Density,code1_Phi2,code1_Energy,code2_Density,code2_Phi2,code2_Energy,diff_Density,diff_Phi2,diff_Energy
5.83,-1.0,0.0001,0.0001,4.4e-09,7.7e-05,7.7e-05,0.0,2.3000000000000003e-05,2.3000000000000003e-05,4.4e-09
5.83,-0.99,0.0067,0.0067,-3.35397e-05,0.006712,0.006687,-3.4e-05,-1.1999999999999858e-05,1.299999999999999e-05,4.6029999999999964e-07
5.83,-0.98,0.0134,0.0133,-0.0001340124,0.013392,0.013292,-0.000134,8.000000000001062e-06,7.999999999999327e-06,-1.2400000000000085e-08
5.83,-0.97,0.0201,0.0198,-0.0003011982,0.020051,0.019827,-0.000301,4.900000000000043e-05,-2.6999999999999247e-05,-1.9819999999998736e-07
5.83,-0.96,0.0267,0.0263,-0.0005348773,0.026689,0.026292,-0.000535,1.1000000000000593e-05,8.000000000001062e-06,1.2269999999999122e-07
5.83,-0.95,0.0333,0.0327,-0.0008348296,0.033305,0.032685,-0.000835,-4.9999999999980616e-06,1.5000000000001124e-05,1.7039999999999417e-07
5.83,-0.94,0.0399,0.039,-0.0012008349,0.039899,0.039008,-0.001201,1.000000000001e-06,-8.000000000001062e-06,1.6509999999992156e-07
5.83,-0.93,0.0465,0.0453,-0.0016326728,0.046465,0.045255,-0.001633,3.500000000000031e-05,4.500000000000337e-05,3.271999999999043e-07
5.83,-0.92,0.053,0.0514,-0.0021301231,0.053016,0.051437,-0.00213,-1.6000000000002124e-05,-3.699999999999537e-05,-1.2309999999991078e-07
5.83,-0.91,0.0595,0.0576,-0.002692965,0.059544,0.05755,-0.002693,-4.400000000000237e-05,5.000000000000143e-05,3.500000000022582e-08
5.83,-0.9,0.0661,0.0636,-0.003320978,0.06605,0.063593,-0.003321,5.000000000000837e-05,7.000000000007001e-06,2.2000000000129555e-08
5.83,-0.89,0.0725,0.0696,-0.0040139413,0.072534,0.069566,-0.004014,-3.400000000000625e-05,3.399999999999237e-05,5.8700000000501407e-08
5.83,-0.88,0.079,0.0755,-0.0047716338,0.078996,0.075469,-0.004772,4.000000000004e-06,3.100000000000325e-05,3.6619999999997627e-07
5.83,-0.87,0.0854,0.0813,-0.0055938346,0.085436,0.081304,-0.005594,-3.599999999999437e-05,-4.000000000004e-06,1.6540000000002386e-07
5.83,-0.86,0.0919,0.0871,-0.0064803225,0.091854,0.08707,-0.00648,4.599999999999049e-05,3.0000000000002247e-05,-3.2250000000025314e-07
