tx,U,mu,rho0,rho1,rho2,rho3,phi0_sq,phi1_sq,phi2_sq,phi3_sq,E0,iters
1.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
1.0,0.0,-4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
1.0,0.0,-4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
1.0,0.0,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61
1.0,0.0,-4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109
1.0,0.0,-4.0,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,1e-06,10001
1.0,0.0,-3.8,1.0032,1.0032,1.0032,1.0032,0.9887,0.9887,0.9887,0.9887,-0.603506,35
1.0,0.0,-3.6,1.2744,1.2744,1.2744,1.2744,1.2367,1.2367,1.2367,1.2367,-1.522379,21
1.0,0.0,-3.4,1.4671,1.4671,1.4671,1.4671,1.402,1.402,1.402,1.402,-2.622406,15
1.0,0.0,-3.2,1.6205,1.6205,1.6205,1.6205,1.5249,1.5249,1.5249,1.5249,-3.859467,12
1.0,0.0,-3.0,1.749,1.749,1.749,1.749,1.621,1.621,1.621,1.621,-5.208631,10
1.0,0.0,-2.8,1.8602,1.8602,1.8602,1.8602,1.6982,1.6982,1.6982,1.6982,-6.653324,9
1.0,0.0,-2.6,1.9584,1.9584,1.9584,1.9584,1.7612,1.7612,1.7612,1.7612,-8.181522,8
1.0,0.0,-2.4,2.0463,2.0463,2.0463,2.0463,1.8132,1.8132,1.8132,1.8132,-9.784008,7
1.0,0.0,-2.2,2.126,2.126,2.126,2.126,1.8562,1.8562,1.8562,1.8562,-11.453438,7
1.0,0.0,-2.0,2.1988,2.1988,2.1988,2.1988,1.8917,1.8917,1.8917,1.8917,-13.183795,6
1.0,0.0,-1.8,2.2659,2.2659,2.2659,2.2659,1.9211,1.9211,1.9211,1.9211,-14.970042,6
1.0,0.0,-1.6,2.328,2.328,2.328,2.328,1.9452,1.9452,1.9452,1.9452,-16.807892,6
1.0,0.0,-1.4,2.3857,2.3857,2.3857,2.3857,1.9647,1.9647,1.9647,1.9647,-18.693645,5
1.0,0.0,-1.2,2.4397,2.4397,2.4397,2.4397,1.9802,1.9802,1.9802,1.9802,-20.624069,5
1.0,0.0,-1.0,2.4904,2.4904,2.4904,2.4904,1.9923,1.9923,1.9923,1.9923,-22.596321,5
1.0,0.0,-0.8,2.538,2.538,2.538,2.538,2.0013,2.0013,2.0013,2.0013,-24.607876,5
1.0,0.0,-0.6,2.583,2.583,2.583,2.583,2.0076,2.0076,2.0076,2.0076,-26.656476,5
1.0,0.0,-0.4,2.6256,2.6256,2.6256,2.6256,2.0114,2.0114,2.0114,2.0114,-28.740092,5
1.0,0.0,-0.2,2.666,2.666,2.666,2.666,2.0131,2.0131,2.0131,2.0131,-30.856891,5
1.0,0.0,0.0,2.7045,2.7045,2.7045,2.7045,2.0128,2.0128,2.0128,2.0128,-33.00521,5
1.0,0.0,0.2,2.7411,2.7411,2.7411,2.7411,2.0107,2.0107,2.0107,2.0107,-35.183532,5
1.0,0.0,0.4,2.776,2.776,2.776,2.776,2.007,2.007,2.007,2.007,-37.390474,5
1.0,0.0,0.6,2.8095,2.8095,2.8095,2.8095,2.0018,2.0018,2.0018,2.0018,-39.624762,5
1.0,0.0,0.8,2.8415,2.8415,2.8415,2.8415,1.9953,1.9953,1.9953,1.9953,-41.885229,5
1.0,0.0,1.0,2.8722,2.8722,2.8722,2.8722,1.9875,1.9875,1.9875,1.9875,-44.170795,5
1.0,0.0,1.2,2.9018,2.9018,2.9018,2.9018,1.9787,1.9787,1.9787,1.9787,-46.480463,5
1.0,0.0,1.4,2.9302,2.9302,2.9302,2.9302,1.9688,1.9688,1.9688,1.9688,-48.813309,5
1.0,0.0,1.6,2.9576,2.9576,2.9576,2.9576,1.9579,1.9579,1.9579,1.9579,-51.168475,5
1.0,0.0,1.8,2.984,2.984,2.984,2.984,1.9462,1.9462,1.9462,1.9462,-53.545162,6
1.0,0.0,2.0,3.0095,3.0095,3.0095,3.0095,1.9336,1.9336,1.9336,1.9336,-55.942625,6
1.0,0.0,2.2,3.0342,3.0342,3.0342,3.0342,1.9202,1.9202,1.9202,1.9202,-58.36017,6
1.0,0.0,2.4,3.0581,3.0581,3.0581,3.0581,1.9062,1.9062,1.9062,1.9062,-60.797147,6
1.0,0.0,2.6,3.0813,3.0813,3.0813,3.0813,1.8914,1.8914,1.8914,1.8914,-63.252946,6
1.0,0.0,2.8,3.1037,3.1037,3.1037,3.1037,1.8761,1.8761,1.8761,1.8761,-65.726997,6
1.0,0.0,3.0,3.1256,3.1256,3.1256,3.1256,1.8601,1.8601,1.8601,1.8601,-68.218763,6
1.0,0.0,3.2,3.1468,3.1468,3.1468,3.1468,1.8436,1.8436,1.8436,1.8436,-70.727741,6
1.0,0.0,3.4,3.1674,3.1674,3.1674,3.1674,1.8266,1.8266,1.8266,1.8266,-73.253456,6
1.0,0.0,3.6,3.1875,3.1875,3.1875,3.1875,1.8091,1.8091,1.8091,1.8091,-75.795461,7
1.0,0.0,3.8,3.2071,3.2071,3.2071,3.2071,1.7911,1.7911,1.7911,1.7911,-78.353333,7
