t,Ubar,Mubar,Density,Phi2,Energy,Iters
1.000000,5.830000,-5.000000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.990000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.980000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.970000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.960000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.950000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.940000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.930000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.920000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.910000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.900000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.890000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.880000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.870000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.860000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.850000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.840000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.830000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.820000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.810000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.800000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.790000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.780000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.770000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.760000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.750000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.740000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.730000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.720000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.710000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.700000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.690000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.680000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.670000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.660000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.650000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.640000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.630000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.620000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.610000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.600000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.590000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.580000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.570000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.560000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.550000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.540000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.530000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.520000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.510000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.500000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.490000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.480000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.470000,0.000000,0.000000,0.000000,8
1.000000,5.830000,-4.460000,0.000000,0.000000,0.000000,8
