Ubar,Mubar,Type,Actual_Phase,Predicted_Phase
10.0,1.25,Predicted,1.0,1
10.0,7.65,Predicted,0.0,0
10.0,44.75,Predicted,1.0,1
15.0,1.25,Predicted,0.0,1
15.0,12.850000000000001,Predicted,0.0,1
15.0,17.55,Predicted,1.0,1
15.0,26.25,Predicted,0.0,0
15.0,34.95,Predicted,1.0,0
15.0,39.25,Predicted,1.0,0
20.0,1.25,Predicted,0.0,1
20.0,18.05,Predicted,1.0,0
20.0,22.150000000000002,Predicted,1.0,1
20.0,36.55,Predicted,0.0,0
20.0,44.25,Predicted,0.0,1
20.0,55.150000000000006,Predicted,1.0,1
25.0,1.25,Predicted,0.0,1
25.0,23.150000000000002,Predicted,1.0,0
25.0,26.950000000000003,Predicted,1.0,0
25.0,46.75,Predicted,1.0,0
25.0,54.05,Predicted,0.0,1
