Ubar,Mubar,Type,Actual_Phase,Predicted_Phase
10.0,1.35,Predicted,1.0,1
10.0,7.75,Predicted,1.0,0
10.0,13.850000000000001,Predicted,1.0,0
10.0,15.150000000000002,Predicted,1.0,1
10.0,45.05,Predicted,1.0,1
15.0,1.1500000000000001,Predicted,1.0,1
15.0,12.95,Predicted,1.0,0
15.0,17.65,Predicted,1.0,1
15.0,26.55,Predicted,1.0,0
15.0,34.85,Predicted,1.0,1
15.0,39.25,Predicted,1.0,0
15.0,64.95,Predicted,1.0,1
20.0,1.05,Predicted,1.0,1
20.0,17.950000000000003,Predicted,1.0,1
20.0,22.35,Predicted,1.0,1
20.0,36.75,Predicted,1.0,0
20.0,43.85000000000001,Predicted,1.0,0
20.0,55.35000000000001,Predicted,1.0,1
25.0,0.95,Predicted,1.0,1
25.0,23.05,Predicted,1.0,0
25.0,27.150000000000002,Predicted,1.0,1
25.0,46.95,Predicted,1.0,0
25.0,53.35000000000001,Predicted,1.0,0
