Ubar,Mubar,Type,Actual_Phase,Predicted_Phase
0.0,5.15,Predicted,0.0,1
0.1,5.550000000000001,Predicted,0.0,0
0.2,5.95,Predicted,0.0,1
0.30000000000000004,6.3500000000000005,Predicted,0.0,1
0.4,6.75,Predicted,0.0,1
0.5,7.15,Predicted,0.0,1
0.6000000000000001,7.550000000000001,Predicted,0.0,0
0.7000000000000001,7.95,Predicted,0.0,1
0.8,8.25,Predicted,1.0,1
0.9,8.65,Predicted,1.0,1
1.0,9.05,Predicted,0.0,0
1.1,9.45,Predicted,1.0,1
1.2000000000000002,9.850000000000001,Predicted,0.0,0
1.3,10.25,Predicted,1.0,1
1.4000000000000001,10.650000000000002,Predicted,0.0,0
1.5,11.05,Predicted,0.0,1
1.6,11.45,Predicted,1.0,1
1.7000000000000002,11.850000000000001,Predicted,1.0,0
1.8,12.25,Predicted,1.0,1
1.9000000000000001,12.75,Predicted,0.0,1
2.0,13.150000000000002,Predicted,0.0,0
2.1,13.55,Predicted,0.0,1
2.2,13.95,Predicted,0.0,1
2.3000000000000003,14.350000000000001,Predicted,0.0,0
2.4000000000000004,14.75,Predicted,0.0,1
2.5,15.150000000000002,Predicted,0.0,0
2.6,15.55,Predicted,0.0,1
2.7,15.95,Predicted,0.0,1
2.8000000000000003,16.35,Predicted,0.0,1
2.9000000000000004,16.75,Predicted,0.0,1
3.0,17.15,Predicted,0.0,1
3.1,17.55,Predicted,0.0,1
3.2,17.950000000000003,Predicted,0.0,0
3.3000000000000003,18.35,Predicted,0.0,1
3.4000000000000004,18.75,Predicted,0.0,1
3.5,19.150000000000002,Predicted,0.0,1
3.6,19.55,Predicted,0.0,1
3.7,19.950000000000003,Predicted,0.0,0
3.8000000000000003,20.35,Predicted,0.0,1
3.9000000000000004,20.75,Predicted,0.0,1
4.0,21.150000000000002,Predicted,0.0,1
4.1000000000000005,21.55,Predicted,0.0,1
4.2,21.950000000000003,Predicted,0.0,0
4.3,22.35,Predicted,0.0,1
4.4,22.75,Predicted,0.0,1
4.5,23.150000000000002,Predicted,0.0,1
4.6000000000000005,23.55,Predicted,0.0,1
4.7,23.950000000000003,Predicted,0.0,0
4.800000000000001,24.35,Predicted,0.0,1
4.9,24.75,Predicted,0.0,1
5.0,25.150000000000002,Predicted,0.0,1
5.1000000000000005,25.55,Predicted,0.0,1
5.2,25.950000000000003,Predicted,0.0,0
5.300000000000001,26.35,Predicted,0.0,1
5.4,26.75,Predicted,0.0,1
5.5,27.150000000000002,Predicted,0.0,1
5.6000000000000005,27.55,Predicted,0.0,1
5.7,27.950000000000003,Predicted,0.0,0
5.800000000000001,2.45,Predicted,1.0,1
5.800000000000001,2.6500000000000004,Predicted,1.0,1
5.800000000000001,28.35,Predicted,0.0,1
5.9,2.25,Predicted,0.0,1
5.9,2.8500000000000005,Predicted,1.0,1
5.9,28.75,Predicted,0.0,1
6.0,2.1500000000000004,Predicted,0.0,0
6.0,3.05,Predicted,1.0,0
6.0,29.05,Predicted,1.0,1
6.1000000000000005,2.1500000000000004,Predicted,0.0,0
6.1000000000000005,3.25,Predicted,1.0,0
6.1000000000000005,29.450000000000003,Predicted,0.0,0
6.2,2.05,Predicted,0.0,1
6.2,3.3500000000000005,Predicted,0.0,1
6.2,29.85,Predicted,1.0,1
6.300000000000001,1.9500000000000002,Predicted,0.0,0
6.300000000000001,3.55,Predicted,1.0,0
6.300000000000001,30.25,Predicted,1.0,1
6.4,1.9500000000000002,Predicted,0.0,0
6.4,3.6500000000000004,Predicted,0.0,1
6.4,30.650000000000002,Predicted,1.0,1
6.5,1.85,Predicted,0.0,1
6.5,3.8500000000000005,Predicted,1.0,1
6.5,31.05,Predicted,1.0,1
6.6000000000000005,1.85,Predicted,0.0,1
6.6000000000000005,3.95,Predicted,1.0,0
6.6000000000000005,31.450000000000003,Predicted,0.0,0
6.7,1.75,Predicted,0.0,1
6.7,4.050000000000001,Predicted,1.0,1
6.7,31.85,Predicted,1.0,1
6.800000000000001,1.75,Predicted,0.0,1
6.800000000000001,4.25,Predicted,1.0,0
6.800000000000001,32.25,Predicted,1.0,1
6.9,1.75,Predicted,0.0,1
6.9,4.35,Predicted,1.0,0
6.9,32.650000000000006,Predicted,0.0,0
7.0,1.75,Predicted,0.0,1
7.0,4.45,Predicted,0.0,0
7.0,33.05,Predicted,1.0,1
7.1000000000000005,1.6500000000000001,Predicted,0.0,1
7.1000000000000005,4.550000000000001,Predicted,0.0,1
7.1000000000000005,33.45,Predicted,1.0,0
7.2,1.6500000000000001,Predicted,0.0,1
7.2,4.75,Predicted,1.0,0
7.2,33.85,Predicted,1.0,1
7.300000000000001,1.6500000000000001,Predicted,0.0,1
7.300000000000001,4.8500000000000005,Predicted,1.0,0
7.300000000000001,34.25,Predicted,1.0,1
