Ubar,Mubar,Actual_Phase,Predicted_Phase,Type
0.0,4.8500000000000005,1.0,1,Predicted
0.1,5.15,1.0,1,Predicted
0.2,5.45,1.0,1,Predicted
0.30000000000000004,5.8500000000000005,1.0,1,Predicted
0.4,6.25,1.0,1,Predicted
0.5,6.65,1.0,1,Predicted
0.6000000000000001,7.050000000000001,1.0,0,Predicted
0.7000000000000001,7.3500000000000005,1.0,1,Predicted
0.8,7.75,1.0,1,Predicted
0.9,8.15,1.0,1,Predicted
1.0,8.55,1.0,0,Predicted
1.1,8.95,1.0,1,Predicted
1.2000000000000002,9.350000000000001,1.0,0,Predicted
1.3,9.75,1.0,1,Predicted
1.4000000000000001,10.25,1.0,1,Predicted
1.5,10.650000000000002,1.0,0,Predicted
1.6,11.05,1.0,1,Predicted
1.7000000000000002,11.45,1.0,1,Predicted
1.8,11.850000000000001,1.0,0,Predicted
1.9000000000000001,12.25,1.0,1,Predicted
2.0,12.650000000000002,1.0,0,Predicted
2.1,13.05,1.0,1,Predicted
2.2,13.45,1.0,1,Predicted
2.3000000000000003,13.850000000000001,1.0,0,Predicted
2.4000000000000004,14.25,1.0,1,Predicted
2.5,14.650000000000002,1.0,0,Predicted
2.6,15.150000000000002,1.0,0,Predicted
2.7,15.55,1.0,1,Predicted
2.8000000000000003,15.95,1.0,1,Predicted
2.9000000000000004,16.35,1.0,1,Predicted
3.0,16.75,1.0,1,Predicted
3.1,17.15,1.0,1,Predicted
3.2,17.55,1.0,1,Predicted
3.3000000000000003,17.950000000000003,1.0,0,Predicted
3.4000000000000004,18.35,1.0,1,Predicted
3.5,18.75,1.0,1,Predicted
3.6,19.150000000000002,1.0,1,Predicted
3.7,19.55,1.0,1,Predicted
3.8000000000000003,19.950000000000003,1.0,0,Predicted
3.9000000000000004,20.35,1.0,1,Predicted
4.0,20.75,1.0,1,Predicted
4.1000000000000005,21.150000000000002,1.0,1,Predicted
4.2,21.55,1.0,1,Predicted
4.3,21.950000000000003,1.0,0,Predicted
4.4,22.35,1.0,1,Predicted
4.5,22.75,1.0,1,Predicted
4.6000000000000005,23.150000000000002,1.0,1,Predicted
4.7,23.55,1.0,1,Predicted
4.800000000000001,23.950000000000003,1.0,0,Predicted
4.9,24.35,1.0,1,Predicted
5.0,24.75,1.0,1,Predicted
5.1000000000000005,25.150000000000002,1.0,1,Predicted
5.2,25.55,1.0,1,Predicted
5.300000000000001,25.950000000000003,1.0,0,Predicted
5.4,26.35,1.0,1,Predicted
5.5,26.75,1.0,1,Predicted
5.6000000000000005,27.150000000000002,1.0,1,Predicted
5.7,27.55,1.0,1,Predicted
5.800000000000001,2.05,1.0,1,Predicted
5.800000000000001,2.25,1.0,0,Predicted
5.800000000000001,27.950000000000003,1.0,0,Predicted
5.9,1.75,1.0,1,Predicted
5.9,2.45,0.0,0,Predicted
5.9,28.35,1.0,1,Predicted
6.0,1.75,1.0,1,Predicted
6.0,2.6500000000000004,0.0,1,Predicted
6.0,28.85,1.0,1,Predicted
6.1000000000000005,1.6500000000000001,1.0,1,Predicted
6.1000000000000005,2.8500000000000005,0.0,1,Predicted
6.1000000000000005,29.25,1.0,1,Predicted
6.2,1.6500000000000001,1.0,1,Predicted
6.2,3.05,0.0,0,Predicted
6.2,29.650000000000002,1.0,1,Predicted
6.300000000000001,1.6500000000000001,1.0,1,Predicted
6.300000000000001,3.1500000000000004,0.0,1,Predicted
6.300000000000001,30.05,1.0,1,Predicted
6.4,1.6500000000000001,1.0,1,Predicted
6.4,3.3500000000000005,0.0,1,Predicted
6.4,30.450000000000003,1.0,0,Predicted
6.5,1.6500000000000001,1.0,1,Predicted
6.5,3.45,0.0,0,Predicted
6.5,30.85,1.0,1,Predicted
6.6000000000000005,1.55,1.0,1,Predicted
6.6000000000000005,3.6500000000000004,0.0,1,Predicted
6.6000000000000005,31.25,1.0,1,Predicted
6.7,1.55,1.0,1,Predicted
6.7,3.75,0.0,0,Predicted
6.7,31.650000000000002,1.0,1,Predicted
6.800000000000001,1.55,1.0,1,Predicted
6.800000000000001,3.95,0.0,0,Predicted
6.800000000000001,32.05,1.0,1,Predicted
6.9,1.55,1.0,1,Predicted
6.9,4.050000000000001,0.0,1,Predicted
6.9,32.45,1.0,0,Predicted
7.0,1.55,1.0,1,Predicted
7.0,4.25,0.0,0,Predicted
7.0,32.85,1.0,1,Predicted
7.1000000000000005,1.55,1.0,1,Predicted
7.1000000000000005,4.35,0.0,0,Predicted
7.1000000000000005,33.25,1.0,1,Predicted
7.2,1.55,1.0,1,Predicted
7.2,4.45,0.0,0,Predicted
7.2,33.650000000000006,1.0,0,Predicted
7.300000000000001,1.4500000000000002,1.0,0,Predicted
7.300000000000001,4.550000000000001,0.0,1,Predicted
7.300000000000001,34.05,1.0,1,Predicted
7.4,1.4500000000000002,1.0,0,Predicted
7.4,4.75,0.0,0,Predicted
7.4,34.45,1.0,0,Predicted
7.5,1.4500000000000002,1.0,0,Predicted
7.5,4.8500000000000005,0.0,0,Predicted
7.5,34.85,1.0,1,Predicted
7.6000000000000005,1.4500000000000002,1.0,0,Predicted
7.6000000000000005,4.95,0.0,0,Predicted
7.6000000000000005,35.25,1.0,1,Predicted
7.7,1.4500000000000002,1.0,0,Predicted
7.7,5.050000000000001,0.0,1,Predicted
7.7,35.650000000000006,1.0,0,Predicted
7.800000000000001,1.4500000000000002,1.0,0,Predicted
7.800000000000001,5.15,0.0,0,Predicted
7.800000000000001,36.05,1.0,1,Predicted
7.9,1.4500000000000002,1.0,0,Predicted
7.9,5.25,0.0,0,Predicted
7.9,36.45,1.0,0,Predicted
8.0,1.4500000000000002,1.0,0,Predicted
8.0,5.3500000000000005,0.0,0,Predicted
8.0,36.85,1.0,1,Predicted
8.1,1.35,1.0,1,Predicted
8.1,5.45,0.0,0,Predicted
8.1,37.25,1.0,1,Predicted
8.200000000000001,1.35,1.0,1,Predicted
8.200000000000001,5.65,0.0,0,Predicted
8.200000000000001,37.650000000000006,1.0,0,Predicted
8.3,1.35,1.0,1,Predicted
8.3,5.75,0.0,0,Predicted
8.3,38.05,1.0,1,Predicted
8.4,1.35,1.0,1,Predicted
8.4,5.8500000000000005,0.0,0,Predicted
8.4,38.45,1.0,1,Predicted
8.5,1.35,1.0,1,Predicted
8.5,5.95,0.0,0,Predicted
8.5,38.85000000000001,1.0,0,Predicted
8.6,1.35,1.0,1,Predicted
8.6,6.050000000000001,0.0,1,Predicted
8.6,39.25,1.0,1,Predicted
8.700000000000001,1.35,1.0,1,Predicted
8.700000000000001,6.15,0.0,0,Predicted
8.700000000000001,39.650000000000006,1.0,0,Predicted
8.8,1.35,1.0,1,Predicted
8.8,6.25,0.0,0,Predicted
8.8,40.05,1.0,1,Predicted
8.9,1.35,1.0,1,Predicted
8.9,6.45,0.0,0,Predicted
8.9,40.45,1.0,1,Predicted
9.0,1.35,1.0,1,Predicted
9.0,6.550000000000001,0.0,1,Predicted
9.0,40.85000000000001,1.0,0,Predicted
9.1,1.35,1.0,1,Predicted
9.1,6.65,0.0,0,Predicted
9.1,41.25,1.0,1,Predicted
9.200000000000001,1.35,1.0,1,Predicted
9.200000000000001,6.75,0.0,0,Predicted
9.200000000000001,41.650000000000006,1.0,0,Predicted
9.3,1.35,1.0,1,Predicted
9.3,6.8500000000000005,0.0,0,Predicted
9.3,42.05,1.0,1,Predicted
9.4,1.35,1.0,1,Predicted
9.4,6.95,0.0,0,Predicted
9.4,42.45,1.0,1,Predicted
9.5,1.35,1.0,1,Predicted
9.5,7.050000000000001,0.0,1,Predicted
9.5,42.85000000000001,1.0,0,Predicted
9.600000000000001,1.25,1.0,1,Predicted
9.600000000000001,7.15,0.0,0,Predicted
9.600000000000001,43.150000000000006,1.0,0,Predicted
9.700000000000001,1.25,1.0,1,Predicted
9.700000000000001,7.25,0.0,0,Predicted
9.700000000000001,43.55,1.0,1,Predicted
9.8,1.25,1.0,1,Predicted
9.8,7.3500000000000005,0.0,0,Predicted
9.8,43.95,1.0,1,Predicted
9.9,1.25,1.0,1,Predicted
9.9,7.45,0.0,0,Predicted
9.9,44.35000000000001,1.0,0,Predicted
10.0,1.25,1.0,1,Predicted
10.0,7.65,0.0,0,Predicted
10.0,44.75,1.0,1,Predicted
10.100000000000001,1.25,1.0,1,Predicted
10.100000000000001,7.75,0.0,0,Predicted
10.100000000000001,14.150000000000002,0.0,0,Predicted
10.100000000000001,14.55,0.0,0,Predicted
10.100000000000001,45.150000000000006,1.0,0,Predicted
10.200000000000001,1.25,1.0,1,Predicted
10.200000000000001,7.8500000000000005,0.0,0,Predicted
10.200000000000001,13.95,1.0,1,Predicted
10.200000000000001,15.350000000000001,0.0,1,Predicted
10.200000000000001,45.55,1.0,1,Predicted
10.3,1.25,1.0,1,Predicted
10.3,7.95,0.0,0,Predicted
10.3,13.850000000000001,1.0,0,Predicted
10.3,15.650000000000002,0.0,1,Predicted
10.3,45.95,1.0,1,Predicted
10.4,1.25,1.0,1,Predicted
10.4,8.05,0.0,1,Predicted
10.4,13.75,1.0,1,Predicted
10.4,15.95,0.0,0,Predicted
10.4,46.35000000000001,1.0,0,Predicted
10.5,1.25,1.0,1,Predicted
10.5,8.15,0.0,0,Predicted
10.5,13.75,1.0,1,Predicted
10.5,16.25,0.0,0,Predicted
10.5,46.75,1.0,1,Predicted
10.600000000000001,1.25,1.0,1,Predicted
10.600000000000001,8.25,0.0,0,Predicted
10.600000000000001,13.75,1.0,1,Predicted
10.600000000000001,16.450000000000003,0.0,1,Predicted
10.600000000000001,47.150000000000006,1.0,0,Predicted
10.700000000000001,1.25,1.0,1,Predicted
10.700000000000001,8.350000000000001,0.0,1,Predicted
10.700000000000001,13.850000000000001,1.0,0,Predicted
10.700000000000001,16.75,0.0,0,Predicted
10.700000000000001,47.55,1.0,1,Predicted
10.8,1.25,1.0,1,Predicted
10.8,8.45,0.0,0,Predicted
10.8,13.850000000000001,1.0,0,Predicted
10.8,17.05,0.0,0,Predicted
10.8,47.95,1.0,1,Predicted
10.9,1.25,1.0,1,Predicted
10.9,8.55,0.0,1,Predicted
10.9,13.95,1.0,1,Predicted
10.9,17.25,0.0,0,Predicted
10.9,48.35000000000001,1.0,0,Predicted
11.0,1.25,1.0,1,Predicted
11.0,8.65,0.0,0,Predicted
11.0,14.05,1.0,1,Predicted
11.0,17.450000000000003,0.0,1,Predicted
11.0,48.85000000000001,1.0,0,Predicted
11.100000000000001,1.25,1.0,1,Predicted
11.100000000000001,8.75,0.0,0,Predicted
11.100000000000001,14.05,1.0,1,Predicted
11.100000000000001,17.75,0.0,0,Predicted
11.100000000000001,49.25,1.0,1,Predicted
11.200000000000001,1.25,1.0,1,Predicted
11.200000000000001,8.850000000000001,0.0,1,Predicted
11.200000000000001,14.150000000000002,1.0,0,Predicted
11.200000000000001,17.950000000000003,0.0,1,Predicted
11.200000000000001,49.650000000000006,1.0,0,Predicted
11.3,1.25,1.0,1,Predicted
11.3,8.95,0.0,0,Predicted
11.3,14.25,1.0,1,Predicted
11.3,18.15,0.0,0,Predicted
11.3,50.05,1.0,1,Predicted
11.4,1.25,1.0,1,Predicted
11.4,9.05,0.0,1,Predicted
11.4,14.350000000000001,1.0,0,Predicted
11.4,18.450000000000003,0.0,1,Predicted
