Ubar,Mubar,Type,Actual_Phase,Predicted_Phase
0.0,4.8500000000000005,Predicted,1.0,1
0.1,5.15,Predicted,1.0,1
0.2,5.45,Predicted,1.0,1
0.30000000000000004,5.8500000000000005,Predicted,1.0,1
0.4,6.25,Predicted,1.0,1
0.5,6.65,Predicted,1.0,1
0.6000000000000001,7.050000000000001,Predicted,1.0,0
0.7000000000000001,7.3500000000000005,Predicted,1.0,1
0.8,7.75,Predicted,1.0,1
0.9,8.15,Predicted,1.0,1
1.0,8.55,Predicted,1.0,0
1.1,8.95,Predicted,1.0,1
1.2000000000000002,9.350000000000001,Predicted,1.0,0
1.3,9.75,Predicted,1.0,1
1.4000000000000001,10.25,Predicted,1.0,1
1.5,10.650000000000002,Predicted,1.0,0
1.6,11.05,Predicted,1.0,1
1.7000000000000002,11.45,Predicted,1.0,1
1.8,11.850000000000001,Predicted,1.0,0
1.9000000000000001,12.25,Predicted,1.0,1
2.0,12.650000000000002,Predicted,1.0,0
2.1,13.05,Predicted,1.0,1
2.2,13.45,Predicted,1.0,1
2.3000000000000003,13.850000000000001,Predicted,1.0,0
2.4000000000000004,14.25,Predicted,1.0,1
2.5,14.650000000000002,Predicted,1.0,0
2.6,15.150000000000002,Predicted,1.0,0
2.7,15.55,Predicted,1.0,1
2.8000000000000003,15.95,Predicted,1.0,1
2.9000000000000004,16.35,Predicted,1.0,1
3.0,16.75,Predicted,1.0,1
3.1,17.15,Predicted,1.0,1
3.2,17.55,Predicted,1.0,1
3.3000000000000003,17.950000000000003,Predicted,1.0,0
3.4000000000000004,18.35,Predicted,1.0,1
3.5,18.75,Predicted,1.0,1
3.6,19.150000000000002,Predicted,1.0,1
3.7,19.55,Predicted,1.0,1
3.8000000000000003,19.950000000000003,Predicted,1.0,0
3.9000000000000004,20.35,Predicted,1.0,1
4.0,20.75,Predicted,1.0,1
4.1000000000000005,21.150000000000002,Predicted,1.0,1
4.2,21.55,Predicted,1.0,1
4.3,21.950000000000003,Predicted,1.0,0
4.4,22.35,Predicted,1.0,1
4.5,22.75,Predicted,1.0,1
