tx,U,mu,rho0,rho1,rho2,rho3,phi0_sq,phi1_sq,phi2_sq,phi3_sq,E0,iters
1.0,25.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
1.0,25.0,-4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
1.0,25.0,-4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
1.0,25.0,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
1.0,25.0,-4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103
1.0,25.0,-4.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,3596
1.0,25.0,-3.8,0.0366,0.0366,0.0366,0.0366,0.0356,0.0356,0.0356,0.0356,-0.014704,48
1.0,25.0,-3.6,0.0719,0.0719,0.0719,0.0719,0.0682,0.0682,0.0682,0.0682,-0.058174,25
1.0,25.0,-3.4,0.1062,0.1062,0.1062,0.1062,0.0979,0.0979,0.0979,0.0979,-0.12948,16
1.0,25.0,-3.2,0.1393,0.1393,0.1393,0.1393,0.1252,0.1252,0.1252,0.1252,-0.227733,15
1.0,25.0,-3.0,0.1714,0.1714,0.1714,0.1714,0.1501,0.1501,0.1501,0.1501,-0.352092,13
1.0,25.0,-2.8,0.2026,0.2026,0.2026,0.2026,0.1728,0.1728,0.1728,0.1728,-0.501763,12
1.0,25.0,-2.6,0.2329,0.2329,0.2329,0.2329,0.1936,0.1936,0.1936,0.1936,-0.676,11
1.0,25.0,-2.4,0.2623,0.2623,0.2623,0.2623,0.2125,0.2125,0.2125,0.2125,-0.874102,10
1.0,25.0,-2.2,0.2909,0.2909,0.2909,0.2909,0.2297,0.2297,0.2297,0.2297,-1.095411,9
1.0,25.0,-2.0,0.3187,0.3187,0.3187,0.3187,0.2453,0.2453,0.2453,0.2453,-1.339307,9
1.0,25.0,-1.8,0.3459,0.3459,0.3459,0.3459,0.2594,0.2594,0.2594,0.2594,-1.605206,8
1.0,25.0,-1.6,0.3724,0.3724,0.3724,0.3724,0.2721,0.2721,0.2721,0.2721,-1.892554,8
1.0,25.0,-1.4,0.3982,0.3982,0.3982,0.3982,0.2834,0.2834,0.2834,0.2834,-2.200826,8
1.0,25.0,-1.2,0.4234,0.4234,0.4234,0.4234,0.2935,0.2935,0.2935,0.2935,-2.529523,8
1.0,25.0,-1.0,0.4481,0.4481,0.4481,0.4481,0.3024,0.3024,0.3024,0.3024,-2.87817,7
1.0,25.0,-0.8,0.4722,0.4722,0.4722,0.4722,0.3101,0.3101,0.3101,0.3101,-3.246314,7
1.0,25.0,-0.6,0.4958,0.4958,0.4958,0.4958,0.3167,0.3167,0.3167,0.3167,-3.633524,7
1.0,25.0,-0.4,0.5188,0.5188,0.5188,0.5188,0.3222,0.3222,0.3222,0.3222,-4.039387,7
1.0,25.0,-0.2,0.5414,0.5414,0.5414,0.5414,0.3267,0.3267,0.3267,0.3267,-4.463507,7
1.0,25.0,0.0,0.5635,0.5635,0.5635,0.5635,0.33,0.33,0.33,0.33,-4.905502,7
1.0,25.0,0.2,0.5852,0.5852,0.5852,0.5852,0.3324,0.3324,0.3324,0.3324,-5.365002,7
1.0,25.0,0.4,0.6064,0.6064,0.6064,0.6064,0.3337,0.3337,0.3337,0.3337,-5.841648,7
1.0,25.0,0.6,0.6271,0.6271,0.6271,0.6271,0.334,0.334,0.334,0.334,-6.335084,7
1.0,25.0,0.8,0.6475,0.6475,0.6475,0.6475,0.3333,0.3333,0.3333,0.3333,-6.844961,7
1.0,25.0,1.0,0.6674,0.6674,0.6674,0.6674,0.3315,0.3315,0.3315,0.3315,-7.370934,8
1.0,25.0,1.2,0.6868,0.6868,0.6868,0.6868,0.3288,0.3288,0.3288,0.3288,-7.912655,8
1.0,25.0,1.4,0.7059,0.7059,0.7059,0.7059,0.325,0.325,0.325,0.325,-8.469777,8
1.0,25.0,1.6,0.7245,0.7245,0.7245,0.7245,0.3202,0.3202,0.3202,0.3202,-9.041952,8
1.0,25.0,1.8,0.7426,0.7426,0.7426,0.7426,0.3144,0.3144,0.3144,0.3144,-9.628827,9
1.0,25.0,2.0,0.7603,0.7603,0.7603,0.7603,0.3076,0.3076,0.3076,0.3076,-10.230047,9
1.0,25.0,2.2,0.7776,0.7776,0.7776,0.7776,0.2998,0.2998,0.2998,0.2998,-10.845251,9
1.0,25.0,2.4,0.7944,0.7944,0.7944,0.7944,0.291,0.291,0.291,0.291,-11.474072,10
1.0,25.0,2.6,0.8107,0.8107,0.8107,0.8107,0.2811,0.2811,0.2811,0.2811,-12.116136,11
1.0,25.0,2.8,0.8265,0.8265,0.8265,0.8265,0.2703,0.2703,0.2703,0.2703,-12.771062,11
1.0,25.0,3.0,0.8419,0.8419,0.8419,0.8419,0.2585,0.2585,0.2585,0.2585,-13.438461,12
1.0,25.0,3.2,0.8567,0.8567,0.8567,0.8567,0.2458,0.2458,0.2458,0.2458,-14.117935,13
1.0,25.0,3.4,0.871,0.871,0.871,0.871,0.2321,0.2321,0.2321,0.2321,-14.809075,14
1.0,25.0,3.6,0.8848,0.8848,0.8848,0.8848,0.2175,0.2175,0.2175,0.2175,-15.511464,15
1.0,25.0,3.8,0.8981,0.8981,0.8981,0.8981,0.2019,0.2019,0.2019,0.2019,-16.224672,16
1.0,25.0,4.0,0.9108,0.9108,0.9108,0.9108,0.1855,0.1855,0.1855,0.1855,-16.948261,18
1.0,25.0,4.2,0.9229,0.9229,0.9229,0.9229,0.1683,0.1683,0.1683,0.1683,-17.681779,20
1.0,25.0,4.4,0.9345,0.9345,0.9345,0.9345,0.1503,0.1503,0.1503,0.1503,-18.424765,22
1.0,25.0,4.6,0.9454,0.9454,0.9454,0.9454,0.1315,0.1315,0.1315,0.1315,-19.176747,24
1.0,25.0,4.8,0.9557,0.9557,0.9557,0.9557,0.1121,0.1121,0.1121,0.1121,-19.937244,27
1.0,25.0,5.0,0.9655,0.9655,0.9655,0.9655,0.092,0.092,0.092,0.092,-20.705763,25
1.0,25.0,5.2,0.9745,0.9745,0.9745,0.9745,0.0714,0.0714,0.0714,0.0714,-21.481805,41
1.0,25.0,5.4,0.983,0.983,0.983,0.983,0.0503,0.0503,0.0503,0.0503,-22.26486,61
1.0,25.0,5.6,0.9908,0.9908,0.9908,0.9908,0.0287,0.0287,0.0287,0.0287,-23.054414,105
1.0,25.0,5.8,0.9979,0.9979,0.9979,0.9979,0.0068,0.0068,0.0068,0.0068,-23.849945,355
1.0,25.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-24.649691,387
1.0,25.0,6.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-25.449691,191
1.0,25.0,6.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-26.249691,134
1.0,25.0,6.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-27.049691,106
1.0,25.0,6.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-27.849691,89
1.0,25.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-28.649691,78
1.0,25.0,7.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-29.449691,70
1.0,25.0,7.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-30.249691,64
1.0,25.0,7.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-31.049691,60
1.0,25.0,7.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-31.849691,57
1.0,25.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-32.649691,54
1.0,25.0,8.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-33.449691,52
1.0,25.0,8.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-34.249691,50
1.0,25.0,8.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-35.049691,48
1.0,25.0,8.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-35.849691,47
1.0,25.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-36.649691,46
1.0,25.0,9.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-37.449691,45
1.0,25.0,9.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-38.249691,45
1.0,25.0,9.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-39.049691,44
1.0,25.0,9.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-39.849691,44
1.0,25.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-40.649691,44
1.0,25.0,10.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-41.449691,44
1.0,25.0,10.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-42.249691,44
1.0,25.0,10.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-43.049691,44
1.0,25.0,10.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-43.849691,44
1.0,25.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-44.649691,45
1.0,25.0,11.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-45.449691,45
1.0,25.0,11.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-46.249691,46
1.0,25.0,11.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-47.049691,47
1.0,25.0,11.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-47.849691,48
1.0,25.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-48.649691,50
1.0,25.0,12.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-49.449691,51
1.0,25.0,12.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-50.249691,53
1.0,25.0,12.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-51.049691,56
1.0,25.0,12.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-51.849691,59
1.0,25.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-52.649691,62
1.0,25.0,13.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-53.449691,66
1.0,25.0,13.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-54.249691,72
1.0,25.0,13.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-55.049691,78
1.0,25.0,13.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-55.849691,87
1.0,25.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-56.649691,99
1.0,25.0,14.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-57.449691,116
1.0,25.0,14.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-58.249691,144
1.0,25.0,14.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-59.049691,194
