Ubar,Mubar,Type,Actual_Phase,Predicted_Phase
10.0,-1.0499999999999998,Actual,0.0,1
10.0,1.3500000000000005,Actual,1.0,0
10.0,7.650000000000001,Actual,0.0,1
10.0,14.05,Actual,0.0,1
10.0,14.950000000000001,Actual,0.0,1
10.0,45.05,Actual,1.0,0
15.0,-1.0499999999999998,Actual,0.0,1
15.0,1.1500000000000004,Actual,0.0,1
15.0,12.850000000000001,Actual,0.0,1
15.0,17.650000000000002,Actual,1.0,0
15.0,26.35,Actual,1.0,1
15.0,35.05,Actual,1.0,0
15.0,38.95,Actual,0.0,0
20.0,-1.0499999999999998,Actual,0.0,1
20.0,1.1500000000000004,Actual,0.0,1
20.0,17.85,Actual,0.0,0
20.0,22.45,Actual,1.0,0
20.0,36.55,Actual,0.0,0
20.0,44.05,Actual,1.0,1
20.0,54.95,Actual,0.0,0
25.0,-1.0499999999999998,Actual,0.0,1
25.0,1.0500000000000003,Actual,0.0,1
25.0,22.95,Actual,0.0,0
25.0,27.35,Actual,1.0,0
25.0,46.650000000000006,Actual,1.0,0
25.0,53.650000000000006,Actual,0.0,1
