Ubar,Mubar,Actual_Phase,Predicted_Phase,Type
0,-1.05,0,1,Actual
0,5.05,1,0,Actual
0.1,-1.05,0,1,Actual
0.1,5.45,1,1,Actual
0.2,-1.05,0,1,Actual
0.2,5.85,1,1,Actual
0.3,-1.05,0,1,Actual
0.3,6.25,1,0,Actual
0.4,-1.05,0,1,Actual
0.4,6.65,1,0,Actual
0.5,-1.05,0,1,Actual
0.5,7.05,1,1,Actual
0.6,-1.05,0,1,Actual
0.6,7.45,1,1,Actual
0.7,-1.05,0,1,Actual
0.7,7.85,1,1,Actual
0.8,-1.05,0,1,Actual
0.8,8.25,1,0,Actual
0.9,-1.05,0,1,Actual
0.9,8.65,0,0,Actual
1,-1.05,0,1,Actual
1,9.05,0,1,Actual
1.1,-1.05,0,1,Actual
1.1,9.45,1,1,Actual
1.2,-1.05,0,1,Actual
1.2,9.85,0,1,Actual
1.3,-1.05,0,1,Actual
1.3,10.25,1,0,Actual
1.4,-1.05,0,1,Actual
1.4,10.65,1,1,Actual
1.5,-1.05,0,1,Actual
1.5,11.05,0,0,Actual
1.6,-1.05,0,1,Actual
1.6,11.45,1,1,Actual
1.7,-1.05,0,1,Actual
1.7,11.85,1,1,Actual
1.8,-1.05,0,1,Actual
1.8,12.25,1,0,Actual
1.9,-1.05,0,1,Actual
1.9,12.65,1,0,Actual
2,-1.05,0,1,Actual
2,13.05,0,1,Actual
2.1,-1.05,0,1,Actual
2.1,13.45,1,1,Actual
2.2,-1.05,0,1,Actual
2.2,13.85,1,1,Actual
2.3,-1.05,0,1,Actual
2.3,14.25,0,0,Actual
2.4,-1.05,0,1,Actual
2.4,14.65,1,0,Actual
2.5,-1.05,0,1,Actual
2.5,15.05,0,1,Actual
2.6,-1.05,0,1,Actual
2.6,15.45,1,1,Actual
2.7,-1.05,0,1,Actual
2.7,15.85,1,0,Actual
2.8,-1.05,0,1,Actual
2.8,16.25,1,0,Actual
2.9,-1.05,0,1,Actual
2.9,16.65,1,1,Actual
3,-1.05,0,1,Actual
3,17.05,1,0,Actual
3.1,-1.05,0,1,Actual
3.1,17.45,0,1,Actual
3.2,-1.05,0,1,Actual
3.2,17.85,1,0,Actual
3.3,-1.05,0,1,Actual
3.3,18.25,1,0,Actual
3.4,-1.05,0,1,Actual
3.4,18.65,1,0,Actual
3.5,-1.05,0,1,Actual
3.5,19.05,1,1,Actual
3.6,-1.05,0,1,Actual
3.6,19.45,1,1,Actual
3.7,-1.05,0,1,Actual
3.7,19.85,0,0,Actual
3.8,-1.05,0,1,Actual
3.8,20.25,1,0,Actual
3.9,-1.05,0,1,Actual
3.9,20.65,1,1,Actual
4,-1.05,0,1,Actual
4,21.05,1,1,Actual
4.1,-1.05,0,1,Actual
4.1,21.45,1,1,Actual
4.2,-1.05,0,1,Actual
4.2,21.85,0,0,Actual
4.3,-1.05,0,1,Actual
4.3,22.25,1,0,Actual
4.4,-1.05,0,1,Actual
4.4,22.65,1,1,Actual
4.5,-1.05,0,1,Actual
4.5,23.05,1,1,Actual
4.6,-1.05,0,1,Actual
4.6,23.45,1,1,Actual
4.7,-1.05,0,1,Actual
4.7,23.85,0,0,Actual
4.8,-1.05,0,1,Actual
4.8,24.25,1,1,Actual
4.9,-1.05,0,1,Actual
4.9,24.65,1,0,Actual
5,-1.05,0,1,Actual
5,25.05,1,1,Actual
5.1,-1.05,0,1,Actual
5.1,25.45,1,1,Actual
5.2,-1.05,0,1,Actual
5.2,25.85,0,0,Actual
5.3,-1.05,0,1,Actual
5.3,26.25,1,0,Actual
5.4,-1.05,0,1,Actual
5.4,26.65,1,1,Actual
5.5,-1.05,0,1,Actual
5.5,27.05,1,1,Actual
5.6,-1.05,0,1,Actual
5.6,27.45,1,1,Actual
5.7,-1.05,0,1,Actual
5.7,27.85,1,0,Actual
5.8,-1.05,0,1,Actual
5.8,28.25,1,0,Actual
5.9,-1.05,0,1,Actual
5.9,2.15,1,0,Actual
5.9,2.75,0,0,Actual
5.9,28.65,1,1,Actual
6,-1.05,0,1,Actual
6,2.05,1,0,Actual
6,2.95,0,0,Actual
6,29.05,1,1,Actual
6.1,-1.05,0,1,Actual
6.1,1.95,1,1,Actual
6.1,3.15,0,0,Actual
6.1,29.45,1,1,Actual
6.2,-1.05,0,1,Actual
6.2,1.85,1,1,Actual
6.2,3.35,0,1,Actual
6.2,29.85,1,0,Actual
6.3,-1.05,0,1,Actual
6.3,1.85,1,0,Actual
6.3,3.45,0,0,Actual
6.3,30.25,1,1,Actual
6.4,-1.05,0,1,Actual
6.4,1.75,1,0,Actual
6.4,3.65,0,1,Actual
6.4,30.65,1,0,Actual
6.5,-1.05,0,1,Actual
6.5,1.75,1,0,Actual
6.5,3.75,0,0,Actual
6.5,31.05,1,1,Actual
6.6,-1.05,0,1,Actual
6.6,1.65,0,1,Actual
6.6,3.95,1,0,Actual
6.6,31.45,1,1,Actual
6.7,-1.05,0,1,Actual
6.7,1.65,0,1,Actual
6.7,4.05,0,0,Actual
6.7,31.85,1,0,Actual
6.8,-1.05,0,1,Actual
6.8,1.65,0,1,Actual
6.8,4.15,0,1,Actual
6.8,32.25,1,0,Actual
6.9,-1.05,0,1,Actual
6.9,1.65,0,1,Actual
6.9,4.25,0,0,Actual
6.9,32.65,0,1,Actual
7,-1.05,0,1,Actual
7,1.55,0,1,Actual
7,4.45,0,1,Actual
7,33.05,1,1,Actual
7.1,-1.05,0,1,Actual
7.1,1.55,0,1,Actual
7.1,4.55,0,0,Actual
7.1,33.45,1,1,Actual
7.2,-1.05,0,1,Actual
7.2,1.55,0,1,Actual
7.2,4.65,0,0,Actual
7.2,33.85,0,0,Actual
7.3,-1.05,0,1,Actual
7.3,1.55,0,1,Actual
7.3,4.75,0,1,Actual
7.3,34.25,1,0,Actual
7.4,-1.05,0,1,Actual
7.4,1.55,0,0,Actual
7.4,4.85,0,0,Actual
7.4,34.65,0,1,Actual
7.5,-1.05,0,1,Actual
7.5,1.55,0,0,Actual
7.5,4.95,0,0,Actual
7.5,35.05,1,1,Actual
7.6,-1.05,0,1,Actual
7.6,1.45,1,0,Actual
7.6,5.15,0,1,Actual
7.6,35.45,1,0,Actual
7.7,-1.05,0,1,Actual
7.7,1.45,1,0,Actual
7.7,5.25,0,0,Actual
7.7,35.85,0,0,Actual
7.8,-1.05,0,1,Actual
7.8,1.45,1,0,Actual
7.8,5.35,0,1,Actual
7.8,36.25,1,1,Actual
7.9,-1.05,0,1,Actual
7.9,1.45,1,0,Actual
7.9,5.45,0,0,Actual
7.9,36.65,0,0,Actual
8,-1.05,0,1,Actual
8,1.45,1,0,Actual
8,5.55,0,0,Actual
8,37.05,1,1,Actual
8.1,-1.05,0,1,Actual
8.1,1.45,1,0,Actual
8.1,5.65,0,1,Actual
8.1,37.45,1,0,Actual
8.2,-1.05,0,1,Actual
8.2,1.45,1,0,Actual
8.2,5.75,0,1,Actual
8.2,37.85,1,0,Actual
8.3,-1.05,0,1,Actual
8.3,1.45,1,0,Actual
8.3,5.85,0,0,Actual
8.3,38.25,1,0,Actual
8.4,-1.05,0,1,Actual
8.4,1.45,1,0,Actual
8.4,5.95,0,1,Actual
8.4,38.65,0,1,Actual
8.5,-1.05,0,1,Actual
8.5,1.35,1,1,Actual
8.5,6.15,0,0,Actual
8.5,39.05,1,1,Actual
8.6,-1.05,0,1,Actual
8.6,1.35,1,1,Actual
8.6,6.25,0,1,Actual
8.6,39.45,1,0,Actual
8.7,-1.05,0,1,Actual
8.7,1.35,1,1,Actual
8.7,6.35,0,1,Actual
8.7,39.85,1,0,Actual
8.8,-1.05,0,1,Actual
8.8,1.35,1,1,Actual
8.8,6.45,0,0,Actual
8.8,40.25,1,1,Actual
8.9,-1.05,0,1,Actual
8.9,1.35,1,1,Actual
8.9,6.55,0,1,Actual
8.9,40.65,0,1,Actual
9,-1.05,0,1,Actual
9,1.35,1,1,Actual
9,6.65,0,0,Actual
9,41.05,1,1,Actual
9.1,-1.05,0,1,Actual
9.1,1.35,1,1,Actual
9.1,6.75,0,0,Actual
9.1,41.45,1,0,Actual
9.2,-1.05,0,1,Actual
9.2,1.35,1,1,Actual
9.2,6.85,0,1,Actual
9.2,41.85,1,0,Actual
9.3,-1.05,0,1,Actual
9.3,1.35,1,1,Actual
9.3,6.95,0,1,Actual
9.3,42.25,1,1,Actual
9.4,-1.05,0,1,Actual
9.4,1.35,1,1,Actual
9.4,7.05,0,0,Actual
9.4,42.65,0,1,Actual
9.5,-1.05,0,1,Actual
9.5,1.35,1,1,Actual
9.5,7.15,0,1,Actual
9.5,43.05,1,1,Actual
9.6,-1.05,0,1,Actual
9.6,1.35,1,1,Actual
9.6,7.25,0,1,Actual
9.6,43.45,1,0,Actual
9.7,-1.05,0,1,Actual
9.7,1.35,1,1,Actual
9.7,7.35,0,0,Actual
9.7,43.85,1,1,Actual
9.8,-1.05,0,1,Actual
9.8,1.35,1,1,Actual
9.8,7.45,0,1,Actual
9.8,44.25,1,0,Actual
9.9,-1.05,0,1,Actual
9.9,1.35,1,1,Actual
9.9,7.55,0,0,Actual
9.9,44.65,0,1,Actual
10,-1.05,0,1,Actual
10,1.35,1,1,Actual
10,7.65,0,0,Actual
10,14.05,0,0,Actual
10,14.95,0,0,Actual
10,45.05,1,1,Actual
10.1,-1.05,0,1,Actual
10.1,1.25,1,1,Actual
10.1,7.85,0,1,Actual
10.1,13.95,1,1,Actual
10.1,15.35,0,1,Actual
10.1,45.45,1,0,Actual
10.2,-1.05,0,1,Actual
10.2,1.25,1,1,Actual
10.2,7.95,0,1,Actual
10.2,13.95,1,0,Actual
10.2,15.65,0,1,Actual
10.2,45.85,1,0,Actual
10.3,-1.05,0,1,Actual
10.3,1.25,1,1,Actual
10.3,8.05,0,1,Actual
10.3,13.95,1,0,Actual
10.3,15.95,0,0,Actual
10.3,46.25,1,1,Actual
10.4,-1.05,0,1,Actual
10.4,1.25,1,1,Actual
10.4,8.15,1,1,Actual
10.4,13.95,1,1,Actual
10.4,16.25,0,0,Actual
10.4,46.65,0,1,Actual
10.5,-1.05,0,1,Actual
10.5,1.25,1,1,Actual
10.5,8.25,0,0,Actual
10.5,14.05,0,0,Actual
10.5,16.45,1,0,Actual
10.5,47.05,1,1,Actual
10.6,-1.05,0,1,Actual
10.6,1.25,1,1,Actual
10.6,8.35,1,1,Actual
10.6,14.05,0,0,Actual
10.6,16.75,0,1,Actual
10.6,47.45,1,0,Actual
10.7,-1.05,0,1,Actual
10.7,1.25,1,1,Actual
10.7,8.45,0,1,Actual
10.7,14.15,1,0,Actual
10.7,16.95,1,0,Actual
10.7,47.85,1,0,Actual
10.8,-1.05,0,1,Actual
10.8,1.25,1,1,Actual
10.8,8.55,0,0,Actual
10.8,14.15,1,0,Actual
10.8,17.25,0,0,Actual
10.8,48.25,1,1,Actual
10.9,-1.05,0,1,Actual
10.9,1.25,1,1,Actual
10.9,8.65,1,1,Actual
10.9,14.25,0,0,Actual
10.9,17.45,1,0,Actual
10.9,48.65,0,1,Actual
11,-1.05,0,1,Actual
11,1.25,1,1,Actual
11,8.75,0,1,Actual
11,14.25,0,1,Actual
11,17.75,0,0,Actual
11,49.05,1,1,Actual
11.1,-1.05,0,1,Actual
11.1,1.25,1,1,Actual
11.1,8.85,1,1,Actual
11.1,14.35,1,0,Actual
11.1,17.95,1,1,Actual
11.1,49.45,1,0,Actual
11.2,-1.05,0,1,Actual
11.2,1.25,1,1,Actual
11.2,8.95,0,1,Actual
11.2,14.45,1,0,Actual
11.2,18.15,0,0,Actual
11.2,49.85,1,1,Actual
11.3,-1.05,0,1,Actual
11.3,1.25,1,1,Actual
11.3,9.05,1,1,Actual
11.3,14.45,1,0,Actual
11.3,18.45,0,0,Actual
11.3,50.25,1,0,Actual
11.4,-1.05,0,1,Actual
11.4,1.25,1,1,Actual
11.4,9.15,0,0,Actual
11.4,14.55,0,1,Actual
11.4,18.65,0,0,Actual
11.4,50.65,0,1,Actual
11.5,-1.05,0,1,Actual
11.5,1.25,1,1,Actual
11.5,9.25,0,1,Actual
11.5,14.65,1,0,Actual
11.5,18.85,1,0,Actual
11.5,51.05,1,1,Actual
11.6,-1.05,0,1,Actual
11.6,1.25,1,1,Actual
11.6,9.35,1,1,Actual
11.6,14.65,1,0,Actual
11.6,19.15,0,1,Actual
11.6,51.45,1,0,Actual
11.7,-1.05,0,1,Actual
11.7,1.25,1,1,Actual
11.7,9.45,0,0,Actual
11.7,14.75,0,0,Actual
11.7,19.35,1,0,Actual
11.7,51.85,1,0,Actual
11.8,-1.05,0,1,Actual
11.8,1.25,1,1,Actual
11.8,9.55,1,1,Actual
11.8,14.85,1,0,Actual
11.8,19.55,0,1,Actual
11.8,52.25,1,1,Actual
11.9,-1.05,0,1,Actual
11.9,1.25,1,1,Actual
11.9,9.65,0,1,Actual
11.9,14.95,1,0,Actual
11.9,19.75,0,1,Actual
11.9,52.65,0,1,Actual
12,-1.05,0,1,Actual
12,1.25,1,1,Actual
12,9.75,0,0,Actual
12,15.05,0,0,Actual
12,19.95,0,0,Actual
12,53.05,1,1,Actual
12.1,-1.05,0,1,Actual
12.1,1.25,1,1,Actual
12.1,9.85,1,1,Actual
12.1,15.05,0,0,Actual
12.1,20.25,0,1,Actual
12.1,53.45,1,0,Actual
12.2,-1.05,0,1,Actual
12.2,1.25,1,1,Actual
12.2,9.95,0,1,Actual
12.2,15.15,1,0,Actual
12.2,20.45,0,1,Actual
12.2,53.85,1,0,Actual
12.3,-1.05,0,1,Actual
12.3,1.25,1,1,Actual
12.3,10.05,1,0,Actual
12.3,15.25,0,0,Actual
12.3,20.65,0,0,Actual
12.3,54.25,1,1,Actual
12.4,-1.05,0,1,Actual
12.4,1.25,1,0,Actual
12.4,10.15,0,1,Actual
12.4,15.35,1,0,Actual
12.4,20.85,1,0,Actual
12.4,54.65,0,1,Actual
12.5,-1.05,0,1,Actual
12.5,1.25,1,0,Actual
12.5,10.25,0,1,Actual
12.5,15.45,1,0,Actual
12.5,21.05,0,0,Actual
12.5,55.05,1,1,Actual
12.6,-1.05,0,1,Actual
12.6,1.25,1,0,Actual
12.6,10.35,1,1,Actual
12.6,15.45,1,0,Actual
12.6,21.25,0,0,Actual
12.6,55.45,1,0,Actual
12.7,-1.05,0,1,Actual
12.7,1.25,1,0,Actual
12.7,10.45,0,1,Actual
12.7,15.55,0,0,Actual
12.7,21.55,0,0,Actual
12.7,55.85,1,1,Actual
12.8,-1.05,0,1,Actual
12.8,1.25,1,0,Actual
12.8,10.55,1,1,Actual
12.8,15.65,1,0,Actual
12.8,21.75,0,0,Actual
12.8,56.25,1,0,Actual
12.9,-1.05,0,1,Actual
12.9,1.25,1,0,Actual
12.9,10.65,0,0,Actual
12.9,15.75,0,0,Actual
12.9,21.95,0,0,Actual
12.9,56.65,0,1,Actual
13,-1.05,0,1,Actual
13,1.25,1,0,Actual
13,10.75,0,1,Actual
13,15.85,1,0,Actual
13,22.15,0,0,Actual
13,57.05,1,0,Actual
13.1,-1.05,0,1,Actual
13.1,1.25,1,0,Actual
13.1,10.85,1,1,Actual
13.1,15.95,1,0,Actual
13.1,22.35,1,0,Actual
13.1,57.45,1,0,Actual
13.2,-1.05,0,1,Actual
13.2,1.25,1,0,Actual
13.2,10.95,0,0,Actual
13.2,16.05,1,0,Actual
13.2,22.55,0,1,Actual
13.2,57.85,1,0,Actual
13.3,-1.05,0,1,Actual
13.3,1.15,0,0,Actual
13.3,11.05,1,1,Actual
13.3,16.15,1,0,Actual
13.3,22.75,0,0,Actual
13.3,58.25,1,1,Actual
13.4,-1.05,0,1,Actual
13.4,1.15,0,0,Actual
13.4,11.25,0,1,Actual
13.4,16.15,1,0,Actual
13.4,23.05,0,0,Actual
13.4,58.65,0,1,Actual
13.5,-1.05,0,1,Actual
13.5,1.15,0,0,Actual
13.5,11.35,0,1,Actual
13.5,16.25,1,0,Actual
13.5,23.25,0,1,Actual
13.5,59.05,1,0,Actual
13.6,-1.05,0,1,Actual
13.6,1.15,0,0,Actual
13.6,11.45,0,1,Actual
13.6,16.35,1,0,Actual
13.6,23.45,0,1,Actual
13.6,59.45,1,1,Actual
13.7,-1.05,0,1,Actual
13.7,1.15,0,0,Actual
13.7,11.55,1,1,Actual
13.7,16.45,0,0,Actual
13.7,23.65,0,0,Actual
13.7,59.85,1,0,Actual
13.8,-1.05,0,1,Actual
13.8,1.15,0,0,Actual
13.8,11.65,0,1,Actual
13.8,16.55,1,0,Actual
13.8,23.85,1,0,Actual
13.9,-1.05,0,1,Actual
13.9,1.15,0,0,Actual
13.9,11.75,0,1,Actual
13.9,16.65,1,0,Actual
13.9,24.05,0,0,Actual
14,-1.05,0,1,Actual
14,1.15,0,0,Actual
14,11.85,0,1,Actual
14,16.75,1,0,Actual
14,24.25,0,0,Actual
14,34.05,1,1,Actual
14,34.95,0,1,Actual
14.1,-1.05,0,1,Actual
14.1,1.15,0,0,Actual
14.1,11.95,0,1,Actual
14.1,16.85,1,0,Actual
14.1,24.45,0,0,Actual
14.1,34.05,1,0,Actual
14.1,35.45,0,1,Actual
14.2,-1.05,0,1,Actual
14.2,1.15,0,0,Actual
14.2,12.05,1,1,Actual
14.2,16.95,0,0,Actual
14.2,24.65,0,1,Actual
14.2,34.05,1,0,Actual
14.2,35.95,0,1,Actual
