Ubar,Actual_Mu,Predicted_Mu,Actual_Phase,Predicted_Phase,Delta_Mu
10,1.3500000000000005,1.35,1.0,1,4.440892098500626e-16
10,7.650000000000001,7.75,0.0,0,-0.09999999999999876
10,14.05,13.850000000000001,0.0,0,0.1999999999999993
10,14.950000000000001,15.150000000000002,0.0,1,-0.20000000000000107
10,45.05,45.05,1.0,1,0.0
15,1.1500000000000004,1.1500000000000001,0.0,1,2.220446049250313e-16
15,12.850000000000001,12.95,0.0,0,-0.09999999999999787
15,17.650000000000002,17.65,1.0,1,3.552713678800501e-15
15,26.35,26.55,1.0,0,-0.1999999999999993
15,35.05,34.85,1.0,1,0.19999999999999574
15,38.95,39.25,0.0,0,-0.29999999999999716
20,1.1500000000000004,1.05,0.0,1,0.10000000000000031
20,17.85,17.950000000000003,0.0,1,-0.10000000000000142
20,22.45,22.35,1.0,1,0.09999999999999787
20,36.55,36.75,0.0,0,-0.20000000000000284
20,44.05,43.85000000000001,1.0,0,0.19999999999998863
20,54.95,55.35000000000001,0.0,1,-0.4000000000000057
25,1.0500000000000003,0.95,0.0,1,0.10000000000000031
25,22.95,23.05,0.0,0,-0.10000000000000142
25,27.35,27.150000000000002,1.0,1,0.1999999999999993
25,46.650000000000006,46.95,1.0,0,-0.29999999999999716
25,53.650000000000006,53.35000000000001,0.0,0,0.29999999999999716
