Ubar,Actual_Mu,Predicted_Mu,Actual_Phase,Predicted_Phase,Delta_Mu
10,1.3500000000000005,1.25,1.0,1,0.10000000000000053
10,7.650000000000001,7.65,0.0,0,8.881784197001252e-16
10,14.05,44.75,0.0,1,-30.7
15,1.1500000000000004,1.25,0.0,1,-0.09999999999999964
15,12.850000000000001,12.850000000000001,0.0,1,0.0
15,17.650000000000002,17.55,1.0,1,0.10000000000000142
15,26.35,26.25,1.0,0,0.10000000000000142
15,35.05,34.95,1.0,0,0.09999999999999432
15,38.95,39.25,0.0,0,-0.29999999999999716
20,1.1500000000000004,1.25,0.0,1,-0.09999999999999964
20,17.85,18.05,0.0,0,-0.1999999999999993
20,22.45,22.150000000000002,1.0,1,0.29999999999999716
20,36.55,36.55,0.0,0,0.0
20,44.05,44.25,1.0,1,-0.20000000000000284
20,54.95,55.150000000000006,0.0,1,-0.20000000000000284
25,1.0500000000000003,1.25,0.0,1,-0.19999999999999973
25,22.95,23.150000000000002,0.0,0,-0.20000000000000284
25,27.35,26.950000000000003,1.0,0,0.3999999999999986
25,46.650000000000006,46.75,1.0,0,-0.09999999999999432
25,53.650000000000006,54.05,0.0,1,-0.3999999999999915
